Scene ID	Threshold	Precision	Recall	Specificity	Jaccard	Accuracy
LC08_L1TP_003052_20160120_20170405_01_T1	0.047059	99.5251	72.4083	99.8262	72.159	90.6494
LC08_L1TP_018008_20160520_20170324_01_T1	0.047059	99.2191	69.3804	99.5558	69.0036	86.0198
LC08_L1TP_029032_20160720_20170222_01_T1	0.047059	93.0288	4.4007	99.9996	4.3862	99.8738
LC08_L1TP_029041_20160720_20170222_01_T1	0.047059	90.5378	94.5933	97.5824	86.0831	96.995
LC08_L1TP_029044_20160720_20170222_01_T1	0.047059	93.8183	98.944	96.1173	92.8882	97.1724
LC08_L1TP_032030_20160420_20170223_01_T1	0.047059	98.8693	99.7815	98.3509	98.6556	99.1964
LC08_L1TP_032035_20160420_20170223_01_T1	0.047059	87.4587	95.2594	99.1163	83.8109	98.8819
LC08_L1TP_032037_20160420_20170223_01_T1	0.047059	53.4141	79.5784	99.8926	46.9751	99.8612
LC08_L1TP_034029_20160520_20170223_01_T1	0.047059	95.1356	93.5826	96.2155	89.3091	95.0528
LC08_L1TP_034033_20160520_20170223_01_T1	0.047059	96.728	98.7472	96.827	95.5554	97.7625
LC08_L1TP_034037_20160520_20170223_01_T1	0.047059	65.1503	80.6389	98.7274	56.3378	98.209
LC08_L1TP_035029_20160120_20170224_01_T1	0.047059	99.9142	98.708	99.8551	98.6244	99.1316
LC08_L1TP_035035_20160120_20170224_01_T1	0.047059	81.6557	84.2043	98.0897	70.8094	96.8161
LC08_L1TP_039035_20160320_20170224_01_T1	0.047059	94.4752	90.7519	98.1307	86.1784	96.2087
LC08_L1TP_050024_20160520_20170324_01_T1	0.047059	98.1788	93.4852	98.7869	91.8916	96.6047
LC08_L1TP_063012_20160920_20170221_01_T1	0.047059	99.8757	92.3052	99.8655	92.1993	95.7882
LC08_L1TP_063013_20160920_20170221_01_T1	0.047059	99.0334	85.2316	99.1421	84.5285	92.0797
LC08_L1TP_064012_20160420_20170223_01_T1	0.047059	93.9077	85.5111	98.3842	81.0167	95.4804
LC08_L1TP_064015_20160420_20170223_01_T1	0.047059	84.832	79.6332	99.1077	69.7079	97.9593
LC08_L1TP_066014_20160520_20170223_01_T1	0.047059	99.956	99.9995	99.9458	99.9555	99.9754
